CADEUR Curncy;;
Date;HIGH;LOW
07/03/2016 09:00;0,6842;0,6829
07/03/2016 09:15;0,6849;0,6841
07/03/2016 09:30;0,6844;0,6837
07/03/2016 09:45;0,6844;0,6839
07/03/2016 10:00;0,684;0,6835
07/03/2016 10:15;0,6839;0,6836
07/03/2016 10:30;0,684;0,6834
07/03/2016 10:45;0,6836;0,683
07/03/2016 11:00;0,6834;0,6828
07/03/2016 11:15;0,6831;0,6827
07/03/2016 11:30;0,683;0,6828
07/03/2016 11:45;0,6832;0,6828
07/03/2016 12:00;0,6832;0,6829
07/03/2016 12:15;0,6843;0,6831
07/03/2016 12:30;0,6842;0,6839
07/03/2016 12:45;0,6842;0,6834
07/03/2016 13:00;0,6834;0,6832
07/03/2016 13:15;0,6833;0,682
07/03/2016 13:30;0,683;0,6823
07/03/2016 13:45;0,6838;0,6829
07/03/2016 14:00;0,6835;0,6823
07/03/2016 14:15;0,6828;0,6822
07/03/2016 14:30;0,6826;0,6821
07/03/2016 14:45;0,6832;0,6825
07/03/2016 15:00;0,6837;0,6829
07/03/2016 15:15;0,6838;0,6832
07/03/2016 15:30;0,6837;0,6831
07/03/2016 15:45;0,6847;0,6836
07/03/2016 16:00;0,685;0,6834
07/03/2016 16:15;0,6844;0,6836
07/03/2016 16:30;0,6847;0,684
07/03/2016 16:45;0,6849;0,684
07/03/2016 17:00;0,6852;0,6839
07/03/2016 17:15;0,6842;0,6837
07/03/2016 17:30;0,6845;0,6838
07/03/2016 17:45;0,6844;0,6834
07/03/2016 18:00;0,6835;0,6828
07/03/2016 18:15;0,683;0,6826
07/03/2016 18:30;0,6839;0,6831
07/03/2016 18:45;0,6841;0,6836
07/03/2016 19:00;0,6845;0,6835
07/03/2016 19:15;0,6843;0,6836
07/03/2016 19:30;0,6837;0,6834
07/03/2016 19:45;0,6837;0,6834
07/03/2016 20:00;0,684;0,6835
07/03/2016 20:15;0,684;0,6832
07/03/2016 20:30;0,6837;0,6833
07/03/2016 20:45;0,6837;0,6833
07/03/2016 21:00;0,6839;0,6834
07/03/2016 21:15;0,684;0,6837
07/03/2016 21:30;0,6836;0,6832
07/03/2016 21:45;0,6841;0,6834
07/03/2016 22:00;0,684;0,6833
07/03/2016 22:15;0,6834;0,6831
07/03/2016 22:30;0,6836;0,6831
07/03/2016 22:45;0,6836;0,6835
07/03/2016 23:00;0,6836;0,6833
07/03/2016 23:15;0,6837;0,6834
07/03/2016 23:30;0,6834;0,6831
07/03/2016 23:45;0,6832;0,683
08/03/2016;0,6832;0,683
08/03/2016 00:15;0,6832;0,683
08/03/2016 00:30;0,6831;0,6829
08/03/2016 00:45;0,6832;0,6828
08/03/2016 01:00;0,6832;0,6829
08/03/2016 01:15;0,683;0,6825
08/03/2016 01:30;0,6829;0,6825
08/03/2016 01:45;0,6828;0,6824
08/03/2016 02:00;0,6828;0,6823
08/03/2016 02:15;0,6831;0,6827
08/03/2016 02:30;0,6829;0,6823
08/03/2016 02:45;0,6823;0,6816
08/03/2016 03:00;0,6818;0,681
08/03/2016 03:15;0,6811;0,6806
08/03/2016 03:30;0,6809;0,6804
08/03/2016 03:45;0,6805;0,6799
08/03/2016 04:00;0,6809;0,6802
08/03/2016 04:15;0,6807;0,6804
08/03/2016 04:30;0,6811;0,6808
08/03/2016 04:45;0,6812;0,6808
08/03/2016 05:00;0,6812;0,6808
08/03/2016 05:15;0,6813;0,6809
08/03/2016 05:30;0,6812;0,6811
08/03/2016 05:45;0,6814;0,6812
08/03/2016 06:00;0,6813;0,6809
08/03/2016 06:15;0,681;0,6806
08/03/2016 06:30;0,6808;0,6805
08/03/2016 06:45;0,6811;0,6808
08/03/2016 07:00;0,681;0,6807
08/03/2016 07:15;0,6809;0,6806
08/03/2016 07:30;0,6807;0,6804
08/03/2016 07:45;0,6808;0,6803
08/03/2016 08:00;0,681;0,6805
08/03/2016 08:15;0,6807;0,6802
08/03/2016 08:30;0,6802;0,6796
08/03/2016 08:45;0,68;0,6795
08/03/2016 09:00;0,6806;0,6796
08/03/2016 09:15;0,681;0,6805
08/03/2016 09:30;0,6808;0,6804
08/03/2016 09:45;0,6815;0,6804
08/03/2016 10:00;0,6805;0,68
08/03/2016 10:15;0,6811;0,6804
08/03/2016 10:30;0,6809;0,6797
08/03/2016 10:45;0,6803;0,6798
08/03/2016 11:00;0,6805;0,68
08/03/2016 11:15;0,6802;0,6796
08/03/2016 11:30;0,6806;0,6798
08/03/2016 11:45;0,6807;0,6798
08/03/2016 12:00;0,6806;0,6799
08/03/2016 12:15;0,6807;0,6803
08/03/2016 12:30;0,6811;0,6806
08/03/2016 12:45;0,6813;0,6806
08/03/2016 13:00;0,6818;0,6808
08/03/2016 13:15;0,6813;0,6804
08/03/2016 13:30;0,6808;0,6803
08/03/2016 13:45;0,6817;0,6805
08/03/2016 14:00;0,6814;0,6803
08/03/2016 14:15;0,6811;0,6801
08/03/2016 14:30;0,6817;0,681
08/03/2016 14:45;0,6817;0,6802
08/03/2016 15:00;0,6802;0,6789
08/03/2016 15:15;0,6792;0,6775
08/03/2016 15:30;0,6777;0,6766
08/03/2016 15:45;0,6777;0,6763
08/03/2016 16:00;0,6776;0,6762
08/03/2016 16:15;0,6772;0,6764
08/03/2016 16:30;0,6771;0,6758
08/03/2016 16:45;0,6759;0,6745
08/03/2016 17:00;0,6763;0,6746
08/03/2016 17:15;0,6766;0,6757
08/03/2016 17:30;0,6769;0,6764
08/03/2016 17:45;0,6777;0,6766
08/03/2016 18:00;0,6778;0,6769
08/03/2016 18:15;0,679;0,6777
08/03/2016 18:30;0,6789;0,6782
08/03/2016 18:45;0,6785;0,6775
08/03/2016 19:00;0,6785;0,678
08/03/2016 19:15;0,6789;0,6781
08/03/2016 19:30;0,6793;0,6786
08/03/2016 19:45;0,6792;0,6788
08/03/2016 20:00;0,6791;0,6787
08/03/2016 20:15;0,679;0,6782
08/03/2016 20:30;0,6783;0,6777
08/03/2016 20:45;0,6783;0,6774
08/03/2016 21:00;0,6784;0,6777
08/03/2016 21:15;0,678;0,6774
08/03/2016 21:30;0,6775;0,677
08/03/2016 21:45;0,6774;0,6767
08/03/2016 22:00;0,6776;0,6771
08/03/2016 22:15;0,6774;0,677
08/03/2016 22:30;0,6773;0,6768
08/03/2016 22:45;0,6773;0,6767
08/03/2016 23:00;0,6775;0,6772
08/03/2016 23:15;0,6775;0,6771
08/03/2016 23:30;0,6772;0,6769
08/03/2016 23:45;0,6772;0,6769
09/03/2016;0,6771;0,6768
09/03/2016 00:15;0,6772;0,6769
09/03/2016 00:30;0,6774;0,6771
09/03/2016 00:45;0,6777;0,6773
09/03/2016 01:00;0,6775;0,6771
09/03/2016 01:15;0,6778;0,6772
09/03/2016 01:30;0,6775;0,6772
09/03/2016 01:45;0,6777;0,6774
09/03/2016 02:00;0,6777;0,6774
09/03/2016 02:15;0,6776;0,6772
09/03/2016 02:30;0,6779;0,6776
09/03/2016 02:45;0,678;0,6777
09/03/2016 03:00;0,678;0,6777
09/03/2016 03:15;0,6782;0,6779
09/03/2016 03:30;0,678;0,6777
09/03/2016 03:45;0,6779;0,6776
09/03/2016 04:00;0,678;0,6778
09/03/2016 04:15;0,678;0,6778
09/03/2016 04:30;0,678;0,6777
09/03/2016 04:45;0,6781;0,6779
09/03/2016 05:00;0,6781;0,6779
09/03/2016 05:15;0,6782;0,6779
09/03/2016 05:30;0,6782;0,6779
09/03/2016 05:45;0,6783;0,6779
09/03/2016 06:00;0,6786;0,6782
09/03/2016 06:15;0,6786;0,6783
09/03/2016 06:30;0,6786;0,6784
09/03/2016 06:45;0,6787;0,6783
09/03/2016 07:00;0,6786;0,6782
09/03/2016 07:15;0,6784;0,6782
09/03/2016 07:30;0,6787;0,6782
09/03/2016 07:45;0,6786;0,6784
09/03/2016 08:00;0,6788;0,6783
09/03/2016 08:15;0,6786;0,678
09/03/2016 08:30;0,6785;0,6779
09/03/2016 08:45;0,6786;0,6781
09/03/2016 09:00;0,6802;0,6783
09/03/2016 09:15;0,6805;0,6795
09/03/2016 09:30;0,6799;0,6795
09/03/2016 09:45;0,6801;0,6793
09/03/2016 10:00;0,6803;0,6795
09/03/2016 10:15;0,6805;0,68
09/03/2016 10:30;0,6809;0,6804
09/03/2016 10:45;0,6809;0,6803
09/03/2016 11:00;0,6809;0,6803
09/03/2016 11:15;0,6808;0,6803
09/03/2016 11:30;0,6815;0,6803
09/03/2016 11:45;0,6817;0,6813
09/03/2016 12:00;0,6819;0,6812
09/03/2016 12:15;0,6816;0,6806
09/03/2016 12:30;0,6814;0,6808
09/03/2016 12:45;0,681;0,6803
09/03/2016 13:00;0,6809;0,6801
09/03/2016 13:15;0,6809;0,6799
09/03/2016 13:30;0,6804;0,6799
09/03/2016 13:45;0,6804;0,6798
09/03/2016 14:00;0,6803;0,6794
09/03/2016 14:15;0,6806;0,6797
09/03/2016 14:30;0,681;0,68
09/03/2016 14:45;0,681;0,6803
09/03/2016 15:00;0,6811;0,6805
09/03/2016 15:15;0,6809;0,6802
09/03/2016 15:30;0,6809;0,6803
09/03/2016 15:45;0,6809;0,6802
09/03/2016 16:00;0,683;0,6809
09/03/2016 16:15;0,6828;0,6812
09/03/2016 16:30;0,6832;0,6814
09/03/2016 16:45;0,6839;0,6816
09/03/2016 17:00;0,684;0,6829
09/03/2016 17:15;0,6856;0,6837
09/03/2016 17:30;0,6858;0,6845
09/03/2016 17:45;0,6855;0,6846
09/03/2016 18:00;0,6858;0,685
09/03/2016 18:15;0,6854;0,6846
09/03/2016 18:30;0,6853;0,6847
09/03/2016 18:45;0,6847;0,6843
09/03/2016 19:00;0,6851;0,6844
09/03/2016 19:15;0,6851;0,6843
09/03/2016 19:30;0,6849;0,6842
09/03/2016 19:45;0,6855;0,6849
09/03/2016 20:00;0,6852;0,6846
09/03/2016 20:15;0,6856;0,6848
09/03/2016 20:30;0,6855;0,685
09/03/2016 20:45;0,686;0,6853
09/03/2016 21:00;0,686;0,6852
09/03/2016 21:15;0,6857;0,6853
09/03/2016 21:30;0,6863;0,6857
09/03/2016 21:45;0,686;0,6855
09/03/2016 22:00;0,6861;0,6856
09/03/2016 22:15;0,6862;0,6856
09/03/2016 22:30;0,686;0,6859
09/03/2016 22:45;0,6864;0,6859
09/03/2016 23:00;0,6863;0,6858
09/03/2016 23:15;0,6861;0,6856
09/03/2016 23:30;0,6863;0,6858
09/03/2016 23:45;0,6865;0,6862
10/03/2016;0,6866;0,6863
10/03/2016 00:15;0,6872;0,6862
10/03/2016 00:30;0,6874;0,6871
10/03/2016 00:45;0,6873;0,6868
10/03/2016 01:00;0,687;0,6866
10/03/2016 01:15;0,6869;0,6865
10/03/2016 01:30;0,6869;0,6866
10/03/2016 01:45;0,6868;0,6863
10/03/2016 02:00;0,6864;0,686
10/03/2016 02:15;0,6864;0,686
10/03/2016 02:30;0,687;0,6862
10/03/2016 02:45;0,6867;0,6861
10/03/2016 03:00;0,6866;0,6859
10/03/2016 03:15;0,6866;0,6859
10/03/2016 03:30;0,6865;0,6858
10/03/2016 03:45;0,6864;0,686
10/03/2016 04:00;0,6863;0,6859
10/03/2016 04:15;0,6861;0,6857
10/03/2016 04:30;0,6864;0,6858
10/03/2016 04:45;0,6865;0,6862
10/03/2016 05:00;0,6864;0,6861
10/03/2016 05:15;0,6864;0,6861
10/03/2016 05:30;0,6862;0,686
10/03/2016 05:45;0,6862;0,686
10/03/2016 06:00;0,6863;0,6862
10/03/2016 06:15;0,6866;0,6862
10/03/2016 06:30;0,6865;0,6863
10/03/2016 06:45;0,6865;0,6863
10/03/2016 07:00;0,6867;0,6863
10/03/2016 07:15;0,6869;0,6866
10/03/2016 07:30;0,6867;0,6865
10/03/2016 07:45;0,6868;0,6866
10/03/2016 08:00;0,6871;0,6867
10/03/2016 08:15;0,687;0,6866
10/03/2016 08:30;0,6871;0,6867
10/03/2016 08:45;0,6873;0,687
10/03/2016 09:00;0,6876;0,6872
10/03/2016 09:15;0,6875;0,6869
10/03/2016 09:30;0,6881;0,6875
10/03/2016 09:45;0,6883;0,6879
10/03/2016 10:00;0,6886;0,6879
10/03/2016 10:15;0,6884;0,6878
10/03/2016 10:30;0,6877;0,6871
10/03/2016 10:45;0,6876;0,6869
10/03/2016 11:00;0,6872;0,6868
10/03/2016 11:15;0,6871;0,6866
10/03/2016 11:30;0,6871;0,6857
10/03/2016 11:45;0,6864;0,6858
10/03/2016 12:00;0,6864;0,6859
10/03/2016 12:15;0,687;0,6864
10/03/2016 12:30;0,6871;0,6864
10/03/2016 12:45;0,687;0,6863
10/03/2016 13:00;0,6868;0,6862
10/03/2016 13:15;0,6866;0,6862
10/03/2016 13:30;0,6875;0,6865
10/03/2016 13:45;0,6943;0,687
10/03/2016 14:00;0,6949;0,693
10/03/2016 14:15;0,6933;0,6924
10/03/2016 14:30;0,6947;0,6929
10/03/2016 14:45;0,6941;0,687
10/03/2016 15:00;0,6896;0,6799
10/03/2016 15:15;0,6844;0,681
10/03/2016 15:30;0,6819;0,6786
10/03/2016 15:45;0,682;0,6803
10/03/2016 16:00;0,6811;0,6777
10/03/2016 16:15;0,6788;0,677
10/03/2016 16:30;0,6768;0,6748
10/03/2016 16:45;0,677;0,6731
10/03/2016 17:00;0,6727;0,6703
10/03/2016 17:15;0,6719;0,6687
10/03/2016 17:30;0,6695;0,6678
10/03/2016 17:45;0,67;0,6689
10/03/2016 18:00;0,6709;0,6696
10/03/2016 18:15;0,6696;0,6686
10/03/2016 18:30;0,6695;0,6662
10/03/2016 18:45;0,6676;0,6662
10/03/2016 19:00;0,668;0,6669
10/03/2016 19:15;0,6684;0,6672
10/03/2016 19:30;0,6689;0,6684
10/03/2016 19:45;0,6697;0,6682
10/03/2016 20:00;0,6693;0,6681
10/03/2016 20:15;0,6687;0,668
10/03/2016 20:30;0,6689;0,6679
10/03/2016 20:45;0,6691;0,6684
10/03/2016 21:00;0,6692;0,6687
10/03/2016 21:15;0,6698;0,6689
10/03/2016 21:30;0,67;0,6697
10/03/2016 21:45;0,6705;0,67
10/03/2016 22:00;0,6706;0,6702
10/03/2016 22:15;0,6706;0,6702
10/03/2016 22:30;0,6707;0,67
10/03/2016 22:45;0,6711;0,6702
10/03/2016 23:00;0,6711;0,67
10/03/2016 23:15;0,6708;0,6706
10/03/2016 23:30;0,6709;0,6697
10/03/2016 23:45;0,671;0,6698
11/03/2016;0,6706;0,6702
11/03/2016 00:15;0,6712;0,6706
11/03/2016 00:30;0,671;0,6704
11/03/2016 00:45;0,6708;0,6705
11/03/2016 01:00;0,6709;0,6704
11/03/2016 01:15;0,6708;0,6704
11/03/2016 01:30;0,6707;0,6704
11/03/2016 01:45;0,6709;0,6702
11/03/2016 02:00;0,6708;0,67
11/03/2016 02:15;0,6705;0,6698
11/03/2016 02:30;0,6709;0,6702
11/03/2016 02:45;0,6714;0,6709
11/03/2016 03:00;0,6714;0,6711
11/03/2016 03:15;0,6715;0,6711
