GBPEUR Curncy;;
Date;HIGH;LOW
07/03/2016 09:00;1,2932;1,2917
07/03/2016 09:15;1,294;1,293
07/03/2016 09:30;1,2943;1,2922
07/03/2016 09:45;1,293;1,2913
07/03/2016 10:00;1,2931;1,2921
07/03/2016 10:15;1,2926;1,2921
07/03/2016 10:30;1,293;1,2906
07/03/2016 10:45;1,2917;1,2907
07/03/2016 11:00;1,292;1,2912
07/03/2016 11:15;1,2921;1,2907
07/03/2016 11:30;1,2912;1,2905
07/03/2016 11:45;1,2913;1,2905
07/03/2016 12:00;1,2919;1,2912
07/03/2016 12:15;1,2927;1,2916
07/03/2016 12:30;1,2927;1,2918
07/03/2016 12:45;1,2928;1,2919
07/03/2016 13:00;1,2933;1,2925
07/03/2016 13:15;1,2934;1,2914
07/03/2016 13:30;1,2927;1,2917
07/03/2016 13:45;1,2932;1,2922
07/03/2016 14:00;1,2925;1,2909
07/03/2016 14:15;1,2925;1,291
07/03/2016 14:30;1,2919;1,2911
07/03/2016 14:45;1,2924;1,2908
07/03/2016 15:00;1,2921;1,2915
07/03/2016 15:15;1,2932;1,2919
07/03/2016 15:30;1,2933;1,2925
07/03/2016 15:45;1,2937;1,2928
07/03/2016 16:00;1,2934;1,292
07/03/2016 16:15;1,2935;1,2923
07/03/2016 16:30;1,2935;1,2923
07/03/2016 16:45;1,2937;1,2932
07/03/2016 17:00;1,2949;1,2931
07/03/2016 17:15;1,2946;1,2935
07/03/2016 17:30;1,2957;1,2942
07/03/2016 17:45;1,2955;1,2941
07/03/2016 18:00;1,296;1,2947
07/03/2016 18:15;1,2963;1,2949
07/03/2016 18:30;1,2957;1,2952
07/03/2016 18:45;1,2956;1,295
07/03/2016 19:00;1,2958;1,2951
07/03/2016 19:15;1,296;1,2953
07/03/2016 19:30;1,2964;1,2955
07/03/2016 19:45;1,2964;1,2959
07/03/2016 20:00;1,2963;1,296
07/03/2016 20:15;1,2962;1,2952
07/03/2016 20:30;1,2956;1,295
07/03/2016 20:45;1,2956;1,2946
07/03/2016 21:00;1,2955;1,2945
07/03/2016 21:15;1,2959;1,2954
07/03/2016 21:30;1,2955;1,2949
07/03/2016 21:45;1,2955;1,2949
07/03/2016 22:00;1,2958;1,2952
07/03/2016 22:15;1,2954;1,2951
07/03/2016 22:30;1,2955;1,2951
07/03/2016 22:45;1,2957;1,2951
07/03/2016 23:00;1,2954;1,295
07/03/2016 23:15;1,2956;1,2949
07/03/2016 23:30;1,2951;1,2946
07/03/2016 23:45;1,295;1,2946
08/03/2016;1,2951;1,2946
